Golf Course Name,Address,City,State,Golf Course Website,,,,,,,,,,
Bear's Best Las Vegas Golf Club,"11111 W Flamingo Rd, Las Vegas, NV 89135-2613",Las Vegas,NV,,,,,,,,,,,
Washington County Golf Course,"6439 Clover Rd, Hartford, WI 53027-9585",Hartford,WI,,,,,,,,,,,
Rustic Glen Golf Club,"12090 West Michigan Avenue, Saline, MI 48176",Saline,MI,,,,,,,,,,,
The Golf Club of Bucyrus,"1330 E Mansfield St, Bucyrus, OH 44820",Bucyrus,OH,,,,,,,,,,,
Rancho San Joaquin Golf Course,"1 Ethel Coplen Way, Irvine, CA 92612-1716",Irvine,CA,,,,,,,,,,,
Little Met Golf Course,"18599 Old Loraine Road, Cleveland, OH 44111",Cleveland,OH,,,,,,,,,,,
Heritage Ranch Golf and Country Club,"465 Scenic Ranch Cir, Fairview, TX 75069",Fairview,TX,,,,,,,,,,,
Lykens Valley Golf Course,"1724 Pennsylvania 25, Millersburg, PA","Millersburg,",PA,,,,,,,,,,,
SunRidge Canyon,"13100 N Sunridge Dr, Fountain Hills, AZ 85268-3400",Fountain Hills,AZ,,,,,,,,,,,
Seven Springs Golf & Country Club - Championship Course,"3535 Trophy Blvd, New Port Richey, FL 34655-1965",New Port Richey,FL,,,,,,,,,,,
Woodhaven Country Club,"275 Miller Rd, Bethany, CT 06524",Bethany,CT,,,,,,,,,,,
Bay Pointe Resort & Golf Club,"800 Bay Pointe Drive, Brandon, MS 39047",Brandon,MS,,,,,,,,,,,
Cole Acres Country Club,"7617 County Highway J, Cuba City, WI 53807",Cuba City,WI,,,,,,,,,,,
GreatLife Golf and Fitness | Burning Tree Golf Course,"7909 Wyandotte St, DE SOTO, KS 66018",DE SOTO,KS,,,,,,,,,,,
Riverchase Golf Club,"700 Riverchase Dr, Coppell, TX 75019-3700",Coppell,TX,,,,,,,,,,,
Chomonix Golf Course,"700 Aqua Ln, Lino Lakes, MN 55014-1971",Lino Lakes,MN,,,,,,,,,,,
Heritage Hills Golf Resort,"2700 Mount Rose Ave, York, PA 17402-9207",York,PA,,,,,,,,,,,
Cedar Creek Golf Course,"Bill Zimmerman, Jr. Way, Bayville, NJ 08721",Bayville,NJ,,,,,,,,,,,
Seabee Golf Course,"23rd Ave, Port Hueneme, CA 93041",Port Hueneme,CA,,,,,,,,,,,
Winter Park Country Club,"761 Old England Ave, Winter Park, FL 32789-3267",Winter Park,FL,,,,,,,,,,,
White Plains Golf Course,"4000 Plantation Dr, Cookeville, TN 38506-3010",Cookeville,TN,,,,,,,,,,,
